"Domain","Methods","Endpoint"
"hackerone.com","POST","/reports/:report_id/escalate_to_jira(.:format)"
"hackerone.com","POST","/reports/:report_id/escalate_to_phabricator(.:format)"
"hackerone.com","POST","/reports/:report_id/external_users(.:format)"
"hackerone.com","DELETE","/reports/:report_id/external_users/:id(.:format)"
"hackerone.com","POST","/reports/:report_id/hacker_help(.:format)"
"hackerone.com","POST","/reports/:report_id/invitations(.:format)"
"hackerone.com","DELETE","/reports/:report_id/invitations/:id(.:format)"
"hackerone.com","POST","/reports/:report_id/link_to_jira(.:format)"
"hackerone.com","GET","/reports/:report_id/mediation_requests/:mediation_type(.:format)"
"hackerone.com","GET","/reports/:report_id/participants(.:format)"
"hackerone.com","POST","/reports/:report_id/public_view(.:format)"
"hackerone.com","POST","/reports/:report_id/redact(.:format)"
"hackerone.com","POST","/reports/:report_id/reference(.:format)"
"hackerone.com","POST","/reports/:report_id/request_mediation(.:format)"
"hackerone.com","POST","/reports/:report_id/severities(.:format)"
"hackerone.com","POST","/reports/:report_id/subscription(.:format)"
"hackerone.com","POST","/reports/:report_id/summaries(.:format)"
"hackerone.com","PUT","/reports/:report_id/summaries/:id(.:format)"
"hackerone.com","PATCH","/reports/:report_id/summaries/:id(.:format)"
"hackerone.com","GET","/reports/:report_id/transfer_eligible_programs(.:format)"
"hackerone.com","POST","/reports/:report_id/votes(.:format)"
"hackerone.com","DELETE","/reports/:report_id/votes/:id(.:format)"
"hackerone.com","POST","/reports/:report_id/weakness(.:format)"
"hackerone.com","POST","/reports/bulk(.:format)"
"hackerone.com","GET|POST","/reports/bulk/abilities(.:format)"
"hackerone.com","POST","/reports/export(.:format)"
"hackerone.com","POST","/resources/download-web-hacking-101(.:format)"
"hackerone.com","GET","/resources/web-hacking-101(.:format)"
"hackerone.com","GET","/roadmap(.:format)"
"hackerone.com","GET","/sample_report_templates(.:format)"
"hackerone.com","POST","/sessions(.:format)"
"hackerone.com","GET","/settings/allow_report_submission(.:format)"
"hackerone.com","GET","/settings/auth(.:format)"
"hackerone.com","GET","/settings/auth/disable_two_factor_authentication(.:format)"
"hackerone.com","GET","/settings/auth/regenerate_backup_codes(.:format)"
"hackerone.com","GET","/settings/auth/setup_account_recovery(.:format)"
"hackerone.com","GET","/settings/auth/setup_two_factor_authentication(.:format)"
"hackerone.com","GET","/settings/auth/verify_account_recovery(.:format)"
"hackerone.com","GET","/settings/authentication/edit(.:format)"
"hackerone.com","GET","/settings/bounties(.:format)"
"hackerone.com","POST","/settings/bounties(.:format)"
"hackerone.com","GET","/settings/calendar(.:format)"
"hackerone.com","PUT","/settings/disable(.:format)"
"hackerone.com","PATCH","/settings/disable(.:format)"
"hackerone.com","GET","/settings/disable/edit(.:format)"
"hackerone.com","GET","/settings/disabled/edit(.:format)"
"hackerone.com","PUT","/settings/email(.:format)"
"hackerone.com","PATCH","/settings/email(.:format)"
"hackerone.com","GET","/settings/email/edit(.:format)"
"hackerone.com","GET","/settings/external_services/edit(.:format)"
"hackerone.com","DELETE","/settings/lufthansa(.:format)"
"hackerone.com","POST","/settings/lufthansa(.:format)"
"hackerone.com","GET","/settings/pass/edit(.:format)"
"hackerone.com","GET","/settings/payment_preferences(.:format)"
"hackerone.com","GET","/settings/preferences(.:format)"
"hackerone.com","PATCH","/settings/profile(.:format)"
"hackerone.com","PUT","/settings/profile(.:format)"
"hackerone.com","GET","/settings/profile/edit(.:format)"
"hackerone.com","GET","/settings/reputation/log(.:format)"
"hackerone.com","GET","/settings/sessions(.:format)"
"hackerone.com","POST","/settings/skill_endorsements(.:format)"
"hackerone.com","GET","/settings/skills(.:format)"
"hackerone.com","GET","/settings/swags(.:format)"
"hackerone.com","GET","/settings/teams(.:format)"
"hackerone.com","DELETE","/settings/teams/:id(.:format)"
"hackerone.com","GET","/settings/vpn(.:format)"
"hackerone.com","POST","/settings/vpn/:name(.:format)"
"hackerone.com","GET","/settings/weaknesses(.:format)"
"hackerone.com","GET","/sign_up(.:format)"
"hackerone.com","GET","/sitemap(.:format)"
"hackerone.com","GET","/skills(.:format)"
"hackerone.com","GET","/statistics/bounties(.:format)"
"hackerone.com","GET","/statistics/reports(.:format)"
"hackerone.com","GET","/statistics/users(.:format)"
"hackerone.com","POST","/tax_forms(.:format)"
"hackerone.com","GET","/tax_forms/new(.:format)"
"hackerone.com","GET","/teams(.:format)"
"hackerone.com","POST","/teams(.:format)"
"hackerone.com","GET","/teams/new(.:format)"
"hackerone.com","GET","/teams/new/coalition(.:format)"
"hackerone.com","GET","/teams/new/googleplay(.:format)"
"hackerone.com","GET","/thanks(.:format)"
"hackerone.com","GET","/triage-dashboard(.:format)"
"hackerone.com","GET","/triage-dashboard-tabs(.:format)"
"hackerone.com","GET","/tutorials(.:format)"
"hackerone.com","PUT","/tutorials/:id(.:format)"
"hackerone.com","PATCH","/tutorials/:id(.:format)"
"hackerone.com","GET|POST","/user_auth/:provider/callback(.:format)"
"hackerone.com","POST","/users(.:format)"
"hackerone.com","GET","/users/2fa/:token(.:format)"
"hackerone.com","GET","/users/confirmation(.:format)"
"hackerone.com","POST","/users/confirmation(.:format)"
"hackerone.com","GET","/users/confirmation/new(.:format)"
"hackerone.com","PATCH","/users/password(.:format)"
"hackerone.com","PUT","/users/password(.:format)"
"hackerone.com","POST","/users/password(.:format)"
"hackerone.com","GET","/users/password/edit(.:format)"
"hackerone.com","GET","/users/password/new(.:format)"
"hackerone.com","POST","/users/saml/auth(.:format)"
"hackerone.com","GET","/users/saml/metadata(.:format)"
"hackerone.com","GET","/users/saml/sign_in(.:format)"
"hackerone.com","GET","/users/saml/unconfirmed(.:format)"
"hackerone.com","POST","/users/saml_idp_response(.:format)"
"hackerone.com","GET","/users/saml_idp_response(.:format)"
"hackerone.com","GET","/users/saml_idp_response/new(.:format)"
"hackerone.com","POST","/users/sign_in(.:format)"
"hackerone.com","GET","/users/sign_in(.:format)"
"hackerone.com","DELETE","/users/sign_out(.:format)"
"hackerone.com","GET","/users/sign_up(.:format)"
"hackerone.com","GET","/users/unlock(.:format)"
"hackerone.com","POST","/users/unlock(.:format)"
"hackerone.com","GET","/users/unlock/new(.:format)"
"hackerone.com","POST","/vulnerability-coordination-maturity-model(.:format)"
"hackerone.com","GET","/vulnerability-coordination-maturity-model(.:format)"
"hackerone.com","GET","/vulnerability-coordination-maturity-model/results(.:format)"
"hackerone.com","GET","/vulnerability-coordination-maturity-model/survey(.:format)"
"hackerone.com","POST","/vulnerability-coordination-maturity-model/user_data(.:format)"
"hackerone.com","POST","/webhooks/currencycloud(.:format)"
"hackerone.com","POST","/webhooks/jira(.:format)"
"hackerone.com","GET","/yahoo(/*subpages)(.:format)"
"hackerone.com","GET","/zendesk_session(.:format)"
"hackerone.com","GET","/zendesk_session/sign_out(.:format)"
